panel,system,radius_angstrom,orbital,ri_ao_ratio,rs_ao_ratio,coverage,recomputed_meV,plotted_recomputed_meV,published_meV,difference_meV,p95_abs_error_meV,max_abs_error_meV,worst_molecule,worst_signed_error_meV,reference_status
e,GW100,5.0,HOMO,3,2,100/100,721.36,721.36,721.36,0,2813.15,4263,16_F2,4263,TensorGW reference output
e,GW100,5.0,HOMO,3,3,100/100,223.44,223.44,223.44,-2.84217094304e-14,917.7,1789,16_F2,1789,TensorGW reference output
e,GW100,5.0,HOMO,3,4,100/100,64.11,64.11,64.11,-5.68434188608e-14,274.2,829,16_F2,829,TensorGW reference output
e,GW100,5.0,HOMO,3,5,100/100,24.83,24.83,24.83,2.48689957516e-14,104.2,313,100_CuCN,313,TensorGW reference output
e,GW100,5.0,HOMO,3,6,100/100,11.3,11.3,11.3,-7.28306304154e-14,63,111,88_C6F6,-111,TensorGW reference output
e,GW100,5.0,HOMO,3,7,100/100,9.45,9.45,9.45,-8.52651282912e-14,31.05,114,88_C6F6,-114,TensorGW reference output
e,GW100,5.0,HOMO,3,8,100/100,8.95,8.95,8.95,-5.3290705182e-14,28.2,116,88_C6F6,-116,TensorGW reference output
e,GW100,5.0,HOMO,3,9,100/100,8.56,8.56,8.56,-2.48689957516e-14,24.15,116,88_C6F6,-116,TensorGW reference output
e,GW100,5.0,HOMO,4,10,100/100,6.12,6.12,6.12,-9.23705556488e-14,15.15,121,88_C6F6,-121,TensorGW reference output
e,GW100,5.0,HOMO,4,2,100/100,712.62,712.62,712.62,0,2812.4,4213,16_F2,4213,TensorGW reference output
e,GW100,5.0,HOMO,4,3,100/100,215.53,215.53,215.53,2.84217094304e-14,894.9,1778,16_F2,1778,TensorGW reference output
e,GW100,5.0,HOMO,4,4,100/100,59.91,59.91,59.91,-7.1054273576e-14,274.55,821,16_F2,821,TensorGW reference output
e,GW100,5.0,HOMO,4,5,100/100,20.46,20.46,20.46,-3.19744231092e-14,94.75,290,100_CuCN,290,TensorGW reference output
e,GW100,5.0,HOMO,4,6,100/100,7.62,7.62,7.62,-2.6645352591e-14,33.3,116,88_C6F6,-116,TensorGW reference output
e,GW100,5.0,HOMO,4,7,100/100,5.93,5.93,5.93,5.86197757002e-14,25,120,88_C6F6,-120,TensorGW reference output
e,GW100,5.0,HOMO,4,8,100/100,5.33,5.33,5.33,-8.97060203897e-14,14.1,121,88_C6F6,-121,TensorGW reference output
e,GW100,5.0,HOMO,4,9,100/100,4.72,4.72,4.72,-4.4408920985e-14,11.05,121,88_C6F6,-121,TensorGW reference output
e,GW100,5.0,HOMO,5,10,100/100,5.48,5.48,5.48,-7.1054273576e-14,13.05,122,88_C6F6,-122,TensorGW reference output
e,GW100,5.0,HOMO,5,2,100/100,709.52,709.52,709.52,0,2812.3,4211,16_F2,4211,TensorGW reference output
e,GW100,5.0,HOMO,5,3,100/100,213.69,213.69,213.69,-5.68434188608e-14,893.95,1775,16_F2,1775,TensorGW reference output
e,GW100,5.0,HOMO,5,4,100/100,58.74,58.74,58.74,-8.52651282912e-14,272.55,819,16_F2,819,TensorGW reference output
e,GW100,5.0,HOMO,5,5,100/100,19.66,19.66,19.66,-2.13162820728e-14,93.85,270,100_CuCN,270,TensorGW reference output
e,GW100,5.0,HOMO,5,6,100/100,6.82,6.82,6.82,-4.08562073062e-14,20.25,117,88_C6F6,-117,TensorGW reference output
e,GW100,5.0,HOMO,5,7,100/100,5.1,5.1,5.1,1.1812772982e-13,12.05,121,88_C6F6,-121,TensorGW reference output
e,GW100,5.0,HOMO,5,8,100/100,4.58,4.58,4.58,-6.03961325396e-14,11.05,122,88_C6F6,-122,TensorGW reference output
e,GW100,5.0,HOMO,5,9,100/100,4.12,4.12,4.12,-4.52970994047e-14,10,122,88_C6F6,-122,TensorGW reference output
f,GW100,5.0,LUMO,2,10,100/100,13.41,13.41,13.41,3.5527136788e-15,43.7,70,11_K2,70,TensorGW reference output
f,GW100,5.0,LUMO,2,2,100/100,243.33,243.33,243.33,2.84217094304e-14,830.45,2977,16_F2,2977,TensorGW reference output
f,GW100,5.0,LUMO,2,3,100/100,106.72,106.72,106.72,1.42108547152e-14,330.8,1409,16_F2,1409,TensorGW reference output
f,GW100,5.0,LUMO,2,4,100/100,37.91,37.91,37.91,2.84217094304e-14,110.7,376,84_BeO,376,TensorGW reference output
f,GW100,5.0,LUMO,2,5,100/100,18.49,18.49,18.49,2.48689957516e-14,63,150,16_F2,150,TensorGW reference output
f,GW100,5.0,LUMO,2,6,100/100,13.52,13.52,13.52,2.84217094304e-14,49.5,74,56_TiF4,74,TensorGW reference output
f,GW100,5.0,LUMO,2,7,100/100,13.01,13.01,13.01,7.1054273576e-15,39.05,72,56_TiF4,72,TensorGW reference output
f,GW100,5.0,LUMO,2,8,100/100,13.04,13.04,13.04,1.59872115546e-14,40.8,74,11_K2,74,TensorGW reference output
f,GW100,5.0,LUMO,2,9,100/100,13.36,13.36,13.36,5.3290705182e-15,39.85,74,11_K2,74,TensorGW reference output
f,GW100,5.0,LUMO,3,10,100/100,4.49,4.49,4.49,1.33226762955e-14,16.05,64,84_BeO,64,TensorGW reference output
f,GW100,5.0,LUMO,3,2,100/100,227.95,227.95,227.95,5.68434188608e-14,798.95,2859,16_F2,2859,TensorGW reference output
f,GW100,5.0,LUMO,3,3,100/100,97.06,97.06,97.06,1.42108547152e-14,310.05,1349,16_F2,1349,TensorGW reference output
f,GW100,5.0,LUMO,3,4,100/100,29.72,29.72,29.72,1.06581410364e-14,114.45,376,84_BeO,376,TensorGW reference output
f,GW100,5.0,LUMO,3,5,100/100,19.27,19.27,19.27,1.7763568394e-14,31,994,84_BeO,994,TensorGW reference output
