panel,system,radius_angstrom,orbital,ri_ao_ratio,rs_ao_ratio,coverage,raw_error_meV,error_meV,p95_abs_error_meV,max_abs_error_meV,worst_molecule,worst_signed_error_meV
h,Si45H56,0.5,LUMO,4,10,1/1,62,62,62,62,Si45H56,-62
h,Si45H56,0.5,LUMO,5,2,1/1,622,622,622,622,Si45H56,-622
h,Si45H56,0.5,LUMO,5,3,1/1,334,334,334,334,Si45H56,-334
h,Si45H56,0.5,LUMO,5,4,1/1,856,856,856,856,Si45H56,-856
h,Si45H56,0.5,LUMO,5,5,1/1,486,486,486,486,Si45H56,-486
h,Si45H56,0.5,LUMO,5,6,1/1,151,151,151,151,Si45H56,-151
h,Si45H56,0.5,LUMO,5,7,1/1,105,105,105,105,Si45H56,-105
h,Si45H56,0.5,LUMO,5,8,1/1,75,75,75,75,Si45H56,-75
h,Si45H56,0.5,LUMO,5,9,1/1,70,70,70,70,Si45H56,-70
h,Si45H56,0.5,LUMO,5,10,1/1,68,68,68,68,Si45H56,-68
i,Si45H56,3,HOMO,2,2,1/1,291,291,291,291,Si45H56,291
i,Si45H56,3,HOMO,2,3,1/1,89,89,89,89,Si45H56,89
i,Si45H56,3,HOMO,2,4,1/1,45,45,45,45,Si45H56,45
i,Si45H56,3,HOMO,2,5,1/1,3,3,3,3,Si45H56,3
i,Si45H56,3,HOMO,2,6,1/1,5,5,5,5,Si45H56,5
i,Si45H56,3,HOMO,2,7,1/1,7,7,7,7,Si45H56,7
i,Si45H56,3,HOMO,2,8,1/1,6,6,6,6,Si45H56,6
i,Si45H56,3,HOMO,2,9,1/1,7,7,7,7,Si45H56,7
i,Si45H56,3,HOMO,2,10,1/1,7,7,7,7,Si45H56,7
i,Si45H56,3,HOMO,3,2,1/1,282,282,282,282,Si45H56,282
i,Si45H56,3,HOMO,3,3,1/1,82,82,82,82,Si45H56,82
i,Si45H56,3,HOMO,3,4,1/1,39,39,39,39,Si45H56,39
i,Si45H56,3,HOMO,3,5,1/1,2,2,2,2,Si45H56,-2
i,Si45H56,3,HOMO,3,6,1/1,1,1,1,1,Si45H56,-1
i,Si45H56,3,HOMO,3,7,1/1,0.999999999999,1,0.999999999999,0.999999999999,Si45H56,0.999999999999
i,Si45H56,3,HOMO,3,8,1/1,0,1,0,0,Si45H56,0
i,Si45H56,3,HOMO,3,9,1/1,0.999999999999,1,0.999999999999,0.999999999999,Si45H56,0.999999999999
i,Si45H56,3,HOMO,3,10,1/1,0.999999999999,1,0.999999999999,0.999999999999,Si45H56,0.999999999999
i,Si45H56,3,HOMO,4,2,1/1,279,279,279,279,Si45H56,279
